event_id,source,title,summary,url,published_at,ingested_at,category,language,location,author,entities,sentiment,relevance_score
evt_000060,Al Jazeera,CNN files chip in partnership,Short abstract 60,https://media.org/article/408052,2025-08-31 06:35:37.732433+00:00,2025-08-31 07:43:37.732433+00:00,entertainment,fr,CA,Staff Writer,"[""ai"", ""economy""]",0.042664183309606,0.48769396414590205
evt_000061,BBC,The Verge expands scientist citing demand,Short abstract 61,https://media.org/article/357896,2025-09-01 14:18:37.732433+00:00,2025-09-01 15:29:37.732433+00:00,finance,fr,AU,Staff Writer,"{""key"": ""value""}",-0.14448485394090602,0.206207075435786
evt_000062,CNN,ESPN reveals market citing demand,Short abstract 62,https://example.com/article/298781,2025-08-31 03:44:37.732433+00:00,2025-08-31 04:44:37.732433+00:00,economy,fr,AU,,"{""key"": ""value""}",,0.348286764638548
evt_000063,Reuters,AP News expands AI model citing demand,Short abstract 63,https://media.org/article/456533,2025-09-01 17:18:37.732433+00:00,2025-09-02 00:34:37.732433+00:00,technology,en,AU,,"{""key"": ""value""}",0.042880779959061005,0.10125793513827301
evt_000064,Bloomberg,BBC expands team amid growth,Short abstract 64,https://site.net/article/674666,2025-09-01 11:46:37.732433+00:00,2025-09-01 12:54:37.732433+00:00,health,en,FR,Staff Writer,"{""key"": ""value""}",0.11109720659688901,0.27875070353741105
evt_000065,BBC,TechCrunch investigates device citing demand,Short abstract 65,https://site.net/article/153855,2025-08-30 17:37:37.732433+00:00,2025-08-31 02:11:37.732433+00:00,entertainment,es,DE,Staff Writer,"{""key"": ""value""}",,0.10731403045869901
evt_000066,CNN,Reuters debuts startup following earnings,Short abstract 66,https://example.com/article/525950,2025-08-31 17:05:37.732433+00:00,2025-08-31 18:30:37.732433+00:00,economy,,BR,,"{""key"": ""value""}",0.48260179659288704,0.19703744493881
evt_000067,TechCrunch,AP News expands AI model citing demand,Short abstract 67,https://news.com/article/252973,2025-09-02 09:11:37.732433+00:00,2025-09-02 09:52:37.732433+00:00,world,,IN,Staff Writer,"[""ai"", ""economy""]",0.608615453415087,0.049242784942240006
evt_000068,CNN,The Verge wins market following earnings,Short abstract 68,https://publisher.io/article/767279,2025-09-02 02:22:37.732433+00:00,2025-09-02 08:10:37.732433+00:00,science,en,IN,Staff Writer,"[""ai"", ""economy""]",-0.126954403806423,0.265363083993618
evt_000069,BBC,Al Jazeera reports market following earnings,Short abstract 69,https://news.com/article/502208,2025-08-31 12:07:37.732433+00:00,2025-08-31 23:19:37.732433+00:00,world,en,IN,Staff Writer,"[""ai"", ""economy""]",0.427398076729583,0.260525054085173
evt_000070,Reuters,Bloomberg announces device in new study,Short abstract 70,https://media.org/article/780555,2025-09-01 15:44:37.732433+00:00,2025-09-02 04:19:37.732433+00:00,science,,AU,Staff Writer,"[""ai"", ""economy""]",-0.183971599197694,0.12400517070607
evt_000071,Al Jazeera,ESPN secures scientist following earnings,Short abstract 71,https://site.net/article/977181,2025-08-31 06:14:37.732433+00:00,2025-08-31 11:25:37.732433+00:00,technology,en,FR,Staff Writer,"{""key"": ""value""}",-0.568827809744149,0.254390560295572
evt_000072,NYTimes,Reuters launches chip after review,Short abstract 72,https://media.org/article/915410,2025-08-31 08:14:37.732433+00:00,2025-08-31 08:23:37.732433+00:00,technology,fr,GB,Staff Writer,"[""ai"", ""economy""]",-0.135985110020058,0.25768091513758
evt_000073,AP News,Al Jazeera announces scientist after review,Short abstract 73,https://site.net/article/401865,2025-08-31 15:05:37.732433+00:00,2025-09-01 01:13:37.732433+00:00,world,en,AU,Staff Writer,"{""key"": ""value""}",0.6556568167247411,0.112565614441353
evt_000074,ESPN,BBC investigates economy following earnings,Short abstract 74,https://media.org/article/745782,2025-09-01 07:36:37.732433+00:00,2025-09-01 11:33:37.732433+00:00,finance,en,DE,Staff Writer,"{""key"": ""value""}",-0.307465797804851,0.258396189781183
evt_000075,Bloomberg,TechCrunch wins team amid growth,Short abstract 75,https://example.com/article/767228,2025-08-31 12:36:37.732433+00:00,2025-08-31 21:35:37.732433+00:00,politics,,BR,Staff Writer,"[""ai"", ""economy""]",,0.527747898620982
evt_000076,Bloomberg,The Verge debuts government in new study,Short abstract 76,https://media.org/article/901782,2025-09-02 02:30:37.732433+00:00,2025-09-02 09:10:37.732433+00:00,business,en,AU,Staff Writer,"[""ai"", ""economy""]",0.510224373301421,0.20387684546953302
evt_000077,Al Jazeera,Bloomberg launches market after review,Short abstract 77,https://publisher.io/article/756008,2025-09-02 09:28:37.732433+00:00,2025-09-02 21:01:37.732433+00:00,science,en,,Staff Writer,"{""key"": ""value""}",-0.699685964842752,0.215007381968351
evt_000078,Reuters,Reuters expands government citing demand,Short abstract 78,https://media.org/article/660058,2025-08-31 01:32:37.732433+00:00,2025-08-31 09:13:37.732433+00:00,sports,en,CA,Staff Writer,"{""key"": ""value""}",0.773471008895913,0.33552274132626103
evt_000079,CNN,BBC secures policy amid growth,Short abstract 79,https://media.org/article/521478,2025-08-31 03:36:37.732433+00:00,2025-08-31 03:36:37.732433+00:00,world,,US,Staff Writer,"[""ai"", ""economy""]",0.462349814012938,0.508218539431206
evt_000080,NYTimes,ESPN reports startup amid growth,Short abstract 80,https://publisher.io/article/126450,2025-08-31 19:08:37.732433+00:00,2025-09-01 03:45:37.732433+00:00,science,en,AU,Staff Writer,"[""ai"", ""economy""]",0.46236938485808105,0.22200143848459702
evt_000081,CNN,BBC debuts scientist in new study,Short abstract 81,https://publisher.io/article/779054,2025-09-02 02:46:37.732433+00:00,2025-09-02 10:21:37.732433+00:00,business,en,IN,Staff Writer,"{""key"": ""value""}",0.108079913635683,0.459834256787827
evt_000082,NYTimes,Reuters debuts device as season starts,Short abstract 82,https://example.com/article/877786,2025-09-02 08:50:37.732433+00:00,2025-09-02 18:40:37.732433+00:00,business,en,IN,Staff Writer,"{""key"": ""value""}",-0.11305491898590501,0.393992175259578
evt_000083,The Verge,Reuters investigates chip in new study,Short abstract 83,https://publisher.io/article/378183,2025-09-01 08:12:37.732433+00:00,2025-09-01 10:05:37.732433+00:00,entertainment,es,AU,Staff Writer,"[""ai"", ""economy""]",-0.37528922008012705,0.31641263215133103
evt_000084,CNN,BBC reveals scientist following earnings,Short abstract 84,https://news.com/article/497881,2025-09-01 18:30:37.732433+00:00,2025-09-02 06:45:37.732433+00:00,,es,,Staff Writer,"[""ai"", ""economy""]",-0.282937466174123,0.28298865735614703
evt_000085,CNN,Al Jazeera investigates scientist following earnings,Short abstract 85,https://example.com/article/692659,2025-09-02 13:19:37.732433+00:00,2025-09-02 14:52:37.732433+00:00,,en,IN,Staff Writer,"{""key"": ""value""}",-0.46599944402557403,0.385884759142886
evt_000086,Reuters,BBC launches policy as season starts,Short abstract 86,https://publisher.io/article/898772,2025-09-01 19:24:37.732433+00:00,2025-09-01 20:08:37.732433+00:00,world,en,,,"{""key"": ""value""}",-0.466436134481553,0.086368684522009
evt_000087,Reuters,Reuters announces chip as season starts,Short abstract 87,https://example.com/article/239097,2025-08-31 14:40:37.732433+00:00,2025-08-31 15:53:37.732433+00:00,business,es,AU,Staff Writer,"{""key"": ""value""}",-0.23368744178724402,0.22231128266342
evt_000088,Reuters,Bloomberg reveals AI model in new study,Short abstract 88,https://media.org/article/748309,2025-09-01 06:45:37.732433+00:00,2025-09-01 10:01:37.732433+00:00,technology,en,FR,Staff Writer,"[""ai"", ""economy""]",-0.12993965434301702,0.1508015787504
evt_000089,Al Jazeera,CNN announces AI model in partnership,Short abstract 89,https://site.net/article/101362,2025-09-02 03:24:37.732433+00:00,2025-09-02 09:09:37.732433+00:00,finance,en,CA,,"[""ai"", ""economy""]",0.8467730111735071,0.5196067634956061
evt_000090,BBC,ESPN expands government in partnership,Short abstract 90,https://publisher.io/article/266613,2025-09-02 15:24:37.732433+00:00,2025-09-02 20:30:37.732433+00:00,entertainment,en,AU,Staff Writer,"{""key"": ""value""}",-0.24929136401217802,0.327638835285993
evt_000091,AP News,Bloomberg reveals policy following earnings,Short abstract 91,https://example.com/article/542635,2025-09-02 05:15:37.732433+00:00,2025-09-02 15:59:37.732433+00:00,,es,US,Staff Writer,"{""key"": ""value""}",-0.032393530460138,0.37227545300393605
evt_000092,CNN,ESPN wins economy in new study,Short abstract 92,https://publisher.io/article/777694,2025-08-31 08:49:37.732433+00:00,2025-08-31 15:21:37.732433+00:00,politics,,DE,Staff Writer,"[""ai"", ""economy""]",-0.35733349490122,0.216970159302758
evt_000093,ESPN,ESPN investigates AI model after review,Short abstract 93,https://site.net/article/773920,2025-08-31 06:04:37.732433+00:00,2025-08-31 12:51:37.732433+00:00,,es,AU,Staff Writer,"{""key"": ""value""}",0.21432037881234603,0.139115776270573
evt_000094,Al Jazeera,NYTimes reveals startup after review,Short abstract 94,https://news.com/article/371254,2025-09-01 20:00:37.732433+00:00,2025-09-01 20:15:37.732433+00:00,technology,en,IN,,"{""key"": ""value""}",,0.048702090798754004
evt_000095,The Verge,TechCrunch investigates scientist amid growth,Short abstract 95,https://example.com/article/394444,2025-08-31 14:37:37.732433+00:00,2025-08-31 15:27:37.732433+00:00,sports,en,BR,Staff Writer,"{""key"": ""value""}",-0.016507348925214,0.36124687664860605
evt_000096,The Verge,ESPN launches startup citing demand,Short abstract 96,https://site.net/article/105785,2025-08-31 08:02:37.732433+00:00,2025-08-31 09:34:37.732433+00:00,technology,en,FR,,"[""ai"", ""economy""]",-0.08781105256662301,0.591703082336625
evt_000097,Al Jazeera,CNN wins chip amid growth,Short abstract 97,https://media.org/article/372428,2025-08-31 09:52:37.732433+00:00,2025-08-31 11:34:37.732433+00:00,business,es,GB,,"{""key"": ""value""}",0.6242070687570891,0.046867942235610006
evt_000098,TechCrunch,ESPN secures market in new study,Short abstract 98,https://publisher.io/article/808045,2025-08-31 12:01:37.732433+00:00,2025-08-31 21:41:37.732433+00:00,business,en,DE,,"{""key"": ""value""}",0.36647377629697603,0.602138508692453
evt_000099,CNN,BBC reports economy citing demand,Short abstract 99,https://publisher.io/article/578973,2025-08-30 23:50:37.732433+00:00,2025-08-31 00:48:37.732433+00:00,finance,en,BR,Staff Writer,"[""ai"", ""economy""]",-0.23490958520572602,0.19216302663898302
evt_000100,ESPN,CNN wins device in new study,Short abstract 100,https://example.com/article/864523,2025-08-31 16:13:37.732433+00:00,2025-08-31 19:39:37.732433+00:00,economy,,US,Staff Writer,"{""key"": ""value""}",0.7374712184030391,0.18445845410189102
evt_000101,Bloomberg,Al Jazeera investigates policy after review,Short abstract 101,https://site.net/article/652679,2025-09-02 08:12:37.732433+00:00,2025-09-02 08:46:37.732433+00:00,sports,en,BR,Staff Writer,"{""key"": ""value""}",-0.06034085333276001,0.34276996535237303
evt_000102,NYTimes,CNN wins government as season starts,Short abstract 102,https://site.net/article/590839,2025-09-02 06:55:37.732433+00:00,2025-09-02 17:35:37.732433+00:00,entertainment,fr,IN,,"{""key"": ""value""}",0.276328544610753,0.242759719175997
evt_000103,TechCrunch,BBC secures market in partnership,Short abstract 103,https://media.org/article/475366,2025-09-01 10:29:37.732433+00:00,2025-09-01 19:53:37.732433+00:00,sports,es,CA,Staff Writer,"{""key"": ""value""}",-0.14601317438931502,0.24072959838045602
evt_000104,The Verge,TechCrunch launches policy in partnership,Short abstract 104,https://media.org/article/922123,2025-09-02 05:04:37.732433+00:00,2025-09-02 17:27:37.732433+00:00,technology,fr,DE,Staff Writer,"{""key"": ""value""}",-0.108355665592091,0.303002165756248
evt_000105,Al Jazeera,AP News expands startup in partnership,Short abstract 105,https://site.net/article/463272,2025-09-02 14:14:37.732433+00:00,2025-09-02 14:33:37.732433+00:00,world,en,AU,,"[""ai"", ""economy""]",0.8885575379396251,0.132896349579736
evt_000106,AP News,NYTimes investigates scientist following earnings,Short abstract 106,https://publisher.io/article/182433,2025-09-01 18:07:37.732433+00:00,2025-09-02 06:51:37.732433+00:00,technology,en,GB,Staff Writer,"{""key"": ""value""}",0.23636707896536302,0.297278994566326
evt_000107,Reuters,ESPN secures startup as season starts,Short abstract 107,https://site.net/article/272612,2025-09-01 09:54:37.732433+00:00,2025-09-01 10:24:37.732433+00:00,finance,fr,US,Staff Writer,"{""key"": ""value""}",0.767178301467974,0.7015072642138781
evt_000108,Bloomberg,TechCrunch debuts chip amid growth,Short abstract 108,https://media.org/article/767026,2025-08-30 15:15:37.732433+00:00,2025-08-30 23:33:37.732433+00:00,business,en,US,Staff Writer,"[""ai"", ""economy""]",0.521952418673874,0.42408975006327304
evt_000109,BBC,Reuters reports device as season starts,Short abstract 109,https://example.com/article/791036,2025-08-31 20:27:37.732433+00:00,2025-08-31 20:55:37.732433+00:00,world,,BR,,"[""ai"", ""economy""]",-0.292609528286289,0.08788389790206201
evt_000110,NYTimes,Reuters investigates team citing demand,Short abstract 110,https://site.net/article/449932,2025-09-01 13:28:37.732433+00:00,2025-09-01 17:49:37.732433+00:00,finance,,,Staff Writer,"{""key"": ""value""}",0.18718589385452503,0.298747624040723
evt_000111,The Verge,BBC expands chip amid growth,Short abstract 111,https://example.com/article/518254,2025-08-30 23:17:37.732433+00:00,2025-08-30 23:56:37.732433+00:00,technology,fr,FR,Staff Writer,"{""key"": ""value""}",-0.10037527627107301,0.21708793745172503
evt_000112,ESPN,Al Jazeera launches economy in new study,Short abstract 112,https://publisher.io/article/254194,2025-08-31 23:42:37.732433+00:00,2025-09-01 01:40:37.732433+00:00,business,es,GB,Staff Writer,"[""ai"", ""economy""]",,0.31218789494742605
evt_000113,BBC,Reuters debuts policy as season starts,Short abstract 113,,2025-08-31 05:06:37.732433+00:00,2025-08-31 15:17:37.732433+00:00,politics,en,CA,Staff Writer,"{""key"": ""value""}",0.875633582719408,0.42629893069123403
evt_000114,TechCrunch,Al Jazeera expands market following earnings,Short abstract 114,https://example.com/article/964819,2025-09-01 01:35:37.732433+00:00,2025-09-01 05:37:37.732433+00:00,business,en,FR,Staff Writer,"{""key"": ""value""}",0.7048532582578241,0.24052364495362502
evt_000115,ESPN,TechCrunch files policy amid growth,Short abstract 115,https://news.com/article/259136,2025-08-31 14:08:37.732433+00:00,2025-08-31 21:50:37.732433+00:00,business,en,FR,Staff Writer,"[""ai"", ""economy""]",,0.08413275045261201
evt_000116,BBC,ESPN launches team as season starts,Short abstract 116,https://site.net/article/869190,2025-09-01 23:05:37.732433+00:00,2025-09-01 23:52:37.732433+00:00,technology,en,US,Staff Writer,"[""ai"", ""economy""]",0.23601554483179601,0.241309507926067
evt_000117,NYTimes,ESPN secures chip citing demand,Short abstract 117,https://example.com/article/852049,2025-09-01 21:00:37.732433+00:00,2025-09-02 07:05:37.732433+00:00,politics,en,US,Staff Writer,"[""ai"", ""economy""]",-0.22462002456057,0.5748742379377121
evt_000118,BBC,ESPN expands market citing demand,Short abstract 118,https://publisher.io/article/863118,2025-09-02 05:22:37.732433+00:00,2025-09-02 07:41:37.732433+00:00,health,en,IN,Staff Writer,"[""ai"", ""economy""]",0.243714302114228,0.36570955754309803
evt_000119,ESPN,TechCrunch secures team in partnership,Short abstract 119,https://media.org/article/406591,2025-08-31 17:05:37.732433+00:00,2025-08-31 17:45:37.732433+00:00,entertainment,en,DE,,"[""ai"", ""economy""]",-0.09624484990687,0.319680729825979
